年,月,日,時,分,縣市,區,死,受傷,2-30,天候,光線,道路類別,速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,主要肇因,受傷程度,主要傷處,保護裝備,行動電話,當事者區分,車輛用途,當事者行動狀態,駕駛資格情形,駕駛執照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,旅次目的,車種,GPS緯度,GPS經度,事故類別
2023,5,1,0,5,臺中市,西屯區,0,1,0,8,3,5,50,4,9,1,5,4,5,7,2,1,5,5,5,1,17,8,2,9,1,1,C03,7,5,1,10,2,13,,8,8,1,1,9,C03,120.642998,24.176988,2
2023,5,1,0,9,臺中市,北區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,,,,,C03,,,1,,1,,,23,,1,21,,C03,120.677084,24.155506,3
2023,5,1,0,10,臺中市,清水區,0,1,0,8,3,5,50,3,1,1,5,4,5,7,1,1,10,5,5,2,16,6,3,10,1,1,B03,7,5,1,8,2,2,,6,6,1,5,5,B03,120.575436,24.269143,2
2023,5,1,0,37,臺中市,西屯區,0,1,0,8,1,5,40,14,8,1,5,4,5,7,4,4,1,4,5,2,16,43,3,10,1,1,B01,7,9,1,4,2,5,,43,43,1,22,8,B01,120.646416,24.165016,2
2023,5,1,0,46,臺中市,東區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,,,,,C03,,,1,,2,,,23,,1,3,,C03,120.694477,24.127043,3
2023,5,1,1,5,臺中市,西屯區,0,0,0,8,,,30,,,,,,,,,,,,,,,12,,,,,B03,,,1,,2,,,12,,1,1,,B03,120.64691,24.175579,3
2023,5,1,1,7,臺中市,西屯區,0,3,0,8,3,5,50,4,1,1,5,4,5,7,3,1,5,5,4,2,16,6,2,3,1,1,B03,7,9,1,8,2,4,,6,6,1,22,8,B03,120.633286,24.16546,2
2023,5,1,1,20,臺中市,西屯區,0,1,0,8,3,5,50,4,1,1,5,4,5,7,1,1,5,4,5,2,17,43,2,9,1,1,C03,7,9,1,10,2,14,,43,43,1,22,8,C03,120.637413,24.176163,2
2023,5,1,1,23,臺中市,龍井區,0,2,0,8,3,5,50,14,9,1,5,4,5,7,4,4,9,5,5,1,14,12,2,8,1,1,B03,7,2,1,8,2,4,,12,12,1,2,9,B03,120.583545,24.18095,2
2023,5,1,2,2,臺中市,西屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,25,,,,,B03,,,1,,2,,,25,,1,1,,B03,120.637664,24.163226,3
2023,5,1,3,30,臺中市,北區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,,,,,B03,,,5,,9,,,23,,1,22,,B03,120.676739,24.156873,3
2023,5,1,3,38,臺中市,大里區,0,0,0,7,3,5,50,14,9,1,5,4,5,7,4,4,5,5,5,1,29,26,,,,,B03,,,1,,2,,,26,,1,22,,B03,120.700066,24.110105,3
2023,5,1,4,29,臺中市,北區,0,1,0,8,3,5,50,5,2,1,5,4,5,7,1,1,1,2,5,2,29,23,2,9,1,1,C03,7,9,1,10,6,11,,23,23,1,21,8,C03,120.686556,24.155128,2
2023,5,1,5,19,臺中市,西屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,,,,,B12,,,1,,2,,,23,,1,22,,B12,120.615431,24.188328,3
2023,5,1,5,35,臺中市,龍井區,0,0,0,,,,50,,,,,,,,,,,,,,,23,,,,,B03,,,1,,2,,,44,23,1,5,,B03,120.58325,24.186705,3
2023,5,1,6,4,臺中市,南區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,2,1,10,5,5,2,16,16,3,10,1,1,B03,7,6,3,18,2,2,,44,16,1,22,1,B03,120.669066,24.128461,2
2023,5,1,6,32,臺中市,中區,0,2,0,8,1,5,50,4,1,1,5,4,5,7,2,1,10,5,4,2,16,10,2,7,1,1,C03,7,11,1,10,2,14,,10,10,1,5,5,C03,120.678401,24.146796,2
2023,5,1,6,48,臺中市,西屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,25,,,,,B03,,,1,,1,,,25,,1,1,,B03,120.647847,24.196114,3
2023,5,1,6,51,臺中市,北屯區,0,1,0,8,1,5,30,3,1,1,5,4,5,7,4,4,10,5,5,2,16,6,3,10,1,1,B12,7,6,1,8,2,8,,6,6,1,22,8,B12,120.715673,24.183545,2
2023,5,1,7,5,臺中市,東區,0,1,0,8,1,5,30,3,1,1,5,4,5,7,4,4,10,5,5,2,16,6,3,10,1,1,B12,7,5,1,8,2,8,,6,6,1,5,8,B12,120.696648,24.144094,2
2023,5,1,7,8,臺中市,北屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,,,,,B03,,,1,,1,,,23,,1,21,,B03,120.720666,24.167203,3
2023,5,1,7,13,臺中市,大甲區,0,2,0,8,1,5,50,14,8,1,5,4,5,7,4,4,5,5,5,1,16,19,3,10,1,1,C03,7,1,6,18,2,11,,19,19,1,9,1,C03,120.621717,24.347988,2
2023,5,1,7,19,臺中市,西屯區,0,1,0,8,1,5,50,4,4,1,5,4,5,7,2,1,1,4,5,2,12,23,3,10,3,4,A02,7,5,1,1,2,2,,23,23,1,22,8,A02,120.649326,24.162018,2
2023,5,1,7,20,臺中市,大里區,0,1,0,8,1,5,30,3,1,1,5,4,5,7,4,4,10,5,5,2,16,6,3,10,1,1,B03,7,5,1,8,2,8,,6,6,1,22,8,B03,120.68478,24.09555,2
2023,5,1,7,20,臺中市,龍井區,0,2,0,8,1,5,50,14,9,1,5,4,5,7,4,4,5,5,5,1,16,23,2,8,3,4,C03,7,9,1,10,2,14,,23,23,1,22,9,C03,120.58476,24.18375,2
2023,5,1,7,21,臺中市,梧棲區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,4,4,5,5,5,2,18,43,2,9,1,1,C03,7,6,1,10,2,15,,43,43,1,4,8,C03,120.534811,24.254045,2
2023,5,1,7,21,臺中市,豐原區,0,1,0,8,1,5,50,5,1,1,5,4,5,7,2,1,1,4,4,1,15,25,2,9,1,1,C03,7,9,1,10,2,11,,25,25,1,21,1,C03,120.723629,24.244772,2
2023,5,1,7,25,臺中市,大肚區,0,0,0,8,,,50,,,,,,,,,,,,,,,12,,,,,A11,,,1,,2,,,12,,1,21,,A11,120.548485,24.14152,3
2023,5,1,7,26,臺中市,大甲區,0,0,0,8,1,5,40,14,9,1,5,4,5,7,1,1,5,5,5,1,13,23,3,10,1,1,B03,7,9,1,8,1,1,,23,23,1,22,9,B03,120.625729,24.343727,3
2023,5,1,7,28,臺中市,大肚區,0,0,0,,,,30,,,,,,,,,,,,,,,8,,,,,B03,,,1,,2,,,8,,1,21,,B03,120.56661,24.127696,3
2023,5,1,7,30,臺中市,西屯區,0,1,0,7,1,5,40,3,1,1,5,4,5,7,4,4,1,5,1,2,16,9,3,10,1,1,B03,7,6,1,8,2,2,,9,9,1,22,8,B03,120.604583,24.183532,2
2023,5,1,7,32,臺中市,南屯區,0,1,0,8,1,5,50,3,1,1,5,4,5,7,1,1,10,5,5,2,16,6,3,10,3,4,B03,7,6,1,8,2,2,,6,6,1,12,8,B03,120.624108,24.152316,2
2023,5,1,7,34,臺中市,西屯區,0,2,0,8,1,5,50,4,2,1,5,4,5,7,1,1,4,4,4,2,12,17,2,9,1,1,C03,7,9,3,18,2,12,,17,17,1,22,8,C03,120.618387,24.164013,2
2023,5,1,7,37,臺中市,大安區,0,1,0,8,1,5,50,3,2,1,5,4,5,7,4,4,5,5,5,1,13,26,3,10,1,1,B03,7,9,1,8,2,8,,26,26,1,4,1,B03,120.575178,24.347859,2
2023,5,1,7,41,臺中市,西屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,16,,,,,B03,,,1,,1,,,16,,1,4,,B03,120.653268,24.16085,3
2023,5,1,7,42,臺中市,西區,0,2,0,8,1,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,13,23,2,9,1,1,C03,7,9,1,10,2,11,,23,23,1,4,5,C03,120.657224,24.146731,2
2023,5,1,7,42,臺中市,南屯區,0,1,0,8,1,5,40,4,1,1,5,4,5,7,4,4,10,5,5,2,17,19,3,10,1,1,B03,7,1,1,8,2,8,,19,19,1,22,8,B03,120.626884,24.115825,2
2023,5,1,7,45,臺中市,東區,0,0,0,8,,,50,,,,,,,,,,,,,,,6,,,,,B03,,,1,,2,,,6,,1,22,,B03,120.70008,24.138865,3
2023,5,1,7,46,臺中市,西屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,16,,,,,B03,,,1,,1,,,16,,1,22,,B03,120.645561,24.172583,3
2023,5,1,7,47,臺中市,西屯區,0,1,0,8,1,5,40,14,8,1,5,4,5,7,4,4,1,4,3,2,12,43,2,8,1,1,C03,7,9,1,8,2,14,,43,43,1,22,8,C03,120.619884,24.179832,2
2023,5,1,8,0,臺中市,烏日區,0,0,0,8,,,50,,,,,,,,,,,,,,,6,,,,,B03,,,3,,2,,,6,,1,21,,B03,120.622753,24.106211,3
2023,5,1,8,1,臺中市,西屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,7,,,,,B03,,,1,,1,,,7,,1,12,,B03,120.643257,24.184825,3
2023,5,1,8,17,臺中市,南區,0,1,0,8,1,5,50,4,1,1,5,4,4,7,1,1,10,5,5,2,17,42,3,10,1,1,B03,7,15,1,8,2,2,,42,42,1,22,8,B03,120.67004,24.112788,2
2023,5,1,8,17,臺中市,烏日區,0,2,0,8,1,5,50,3,1,1,5,4,5,7,1,1,10,4,4,2,13,23,3,10,1,1,B03,7,9,1,8,2,5,,23,23,1,21,8,B03,120.616521,24.107356,2
2023,5,1,8,18,臺中市,龍井區,0,0,0,8,,,50,,,,,,,,,,,,,,,12,,,,,B03,,,1,,2,,,12,,1,22,,B03,120.575904,24.175748,3
2023,5,1,8,30,臺中市,南屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,,,,,B03,,,1,,1,,,23,,1,22,,B03,120.625361,24.140709,3
2023,5,1,8,36,臺中市,北屯區,0,1,0,8,1,5,50,3,1,1,5,4,5,7,4,4,10,5,5,2,18,23,2,9,1,1,C03,7,6,1,10,2,14,,23,23,1,21,8,C03,120.722433,24.169783,2
2023,5,1,8,36,臺中市,東勢區,0,1,0,8,1,5,60,3,2,1,5,4,5,7,4,4,1,1,4,2,16,6,3,10,1,1,B03,7,8,1,8,2,8,,6,6,1,22,9,B03,120.822753,24.261096,2
2023,5,1,8,46,臺中市,北屯區,0,1,0,8,1,5,50,14,8,1,5,4,5,7,4,4,4,3,4,2,16,7,3,10,1,1,B03,7,8,1,7,2,2,,7,7,1,21,8,B03,120.703414,24.163058,2
2023,5,1,8,53,臺中市,清水區,0,0,0,8,,,50,,,,,,,,,,,,,,,26,,,,,B03,,,1,,1,,,26,,1,21,,B03,120.556727,24.266078,3
2023,5,1,8,55,臺中市,南屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,26,,,,,B03,,,1,8,1,,,26,26,1,12,,B03,120.630846,24.14649,3
2023,5,1,8,55,臺中市,沙鹿區,0,1,0,8,1,5,50,3,9,1,5,4,5,7,1,1,4,3,5,2,13,23,3,10,1,1,C03,7,9,1,10,2,11,,23,23,1,22,8,C03,120.571385,24.199228,2
2023,5,1,8,55,臺中市,清水區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,,,,,B03,,,1,,2,,,23,,1,22,,B03,120.561768,24.271873,3
2023,5,1,9,5,臺中市,南屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,27,,,,,B03,,,1,,1,,,27,,1,22,,B03,120.636762,24.155797,3
2023,5,1,9,7,臺中市,西屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,18,,,,,B03,,,1,,1,,,18,,1,22,,B03,120.602785,24.184786,3
2023,5,1,9,14,臺中市,東區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,2,1,10,5,5,2,13,16,2,9,1,1,C03,7,9,1,10,2,11,,16,16,1,21,8,C03,120.689186,24.142917,2
2023,5,1,9,15,臺中市,北屯區,0,0,0,8,,,30,,,,,,,,,,,,,,,23,,,,,B03,,,1,,11,,,23,,1,21,,B03,120.673295,24.175116,3
2023,5,1,9,15,臺中市,沙鹿區,0,1,0,8,1,5,40,3,8,1,5,4,5,7,2,1,10,5,5,2,17,6,3,10,1,1,B12,7,6,1,8,2,2,,6,6,1,5,9,B12,120.575738,24.227118,2
2023,5,1,9,16,臺中市,北屯區,0,2,0,8,1,5,40,14,8,1,5,4,5,7,4,4,1,4,4,2,13,23,2,8,1,1,C03,7,9,1,10,2,13,,23,23,1,22,8,C03,120.683641,24.181743,2
2023,5,1,9,29,臺中市,清水區,0,2,0,8,1,5,40,14,8,1,5,4,5,7,4,4,1,4,4,2,13,16,2,9,1,1,C03,7,9,1,10,2,11,,16,16,1,21,8,C03,120.57149,24.260301,2
2023,5,1,9,34,臺中市,中區,0,1,0,8,1,5,40,4,2,1,5,4,5,7,1,1,5,5,4,2,13,23,3,10,1,1,C03,7,9,1,10,2,11,,23,23,1,5,8,C03,120.676591,24.144983,2
2023,5,1,9,43,臺中市,霧峰區,0,0,0,8,,,50,,,,,,,,,,,,,,,43,,,,,B12,,,1,,11,,,43,,1,22,,B12,120.709032,24.078362,3
2023,5,1,9,45,臺中市,西屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,12,,,,,B03,,,1,,11,,,12,,1,22,,B03,120.650365,24.166007,3
2023,5,1,9,48,臺中市,外埔區,0,1,0,8,1,5,50,3,1,1,5,4,5,7,4,4,10,5,5,2,11,9,2,9,1,1,C03,7,6,1,10,2,11,,9,9,1,22,8,C03,120.634752,24.344216,2
2023,5,1,9,50,臺中市,大雅區,0,0,0,8,,,30,,,,,,,,,,,,,,,1,,,,,B03,,,1,,1,,,1,,1,22,,B03,120.647179,24.244866,3
2023,5,1,9,57,臺中市,神岡區,0,0,0,8,,,30,,,,,,,,,,,,,,,6,,,,,B12,,,1,,2,,,6,,1,22,,B12,120.68877,24.254871,3
2023,5,1,10,0,臺中市,后里區,0,1,0,8,1,5,60,14,7,1,5,4,5,7,4,4,5,5,5,1,16,19,2,9,1,1,C03,7,1,3,18,2,14,,19,19,1,22,8,C03,120.729337,24.329512,2
2023,5,1,10,1,臺中市,東區,0,0,0,8,,,30,,,,,,,,,,,,,,,23,,,,,C03,,,1,,2,,,23,,1,22,,C03,120.703935,24.135111,3
2023,5,1,10,8,臺中市,后里區,0,1,0,8,1,5,50,14,9,1,5,4,5,7,4,4,9,5,5,1,17,8,3,10,1,1,B03,7,5,1,8,2,15,,8,8,1,22,8,B03,120.726776,24.333229,2
2023,5,1,10,14,臺中市,大甲區,0,0,0,8,,,50,,,,,,,,,,,,,,,16,,,,,B03,,,1,,2,,,16,,1,4,,B03,120.625311,24.347324,3
2023,5,1,10,15,臺中市,霧峰區,0,2,0,8,1,5,30,11,9,1,5,4,5,1,4,4,10,5,5,2,11,5,2,7,3,4,C03,7,9,1,10,2,14,,5,5,1,18,8,C03,120.716641,24.072111,2
2023,5,1,10,22,臺中市,東區,0,0,0,8,,,50,,,,,,,,,,,,,,,6,,,,,B03,,,1,,2,,,6,,1,22,,B03,120.695508,24.146314,3
2023,5,1,10,25,臺中市,北屯區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,17,8,3,10,1,1,B03,7,5,1,8,2,4,,8,8,1,21,8,B03,120.718195,24.18017,2
2023,5,1,10,26,臺中市,北屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,12,,,,,B03,,,1,,2,,,12,,1,21,,B03,120.696187,24.171987,3
2023,5,1,10,30,臺中市,大雅區,0,1,0,8,1,5,50,3,1,1,5,4,5,7,4,4,9,4,5,1,17,19,3,10,1,1,B12,7,1,1,8,2,15,,19,19,1,22,9,B12,120.647092,24.226191,2
2023,5,1,10,39,臺中市,大甲區,0,2,0,8,1,5,40,14,8,1,5,4,5,7,4,4,1,4,4,1,13,42,3,10,1,1,C03,7,9,1,10,2,11,,42,42,1,4,8,C03,120.615713,24.335008,2
2023,5,1,10,46,臺中市,西屯區,0,3,0,8,1,5,30,14,9,1,5,4,5,7,4,4,10,5,5,2,16,10,2,9,1,1,C03,7,11,1,10,2,14,,10,10,1,4,8,C03,120.646503,24.178239,2
2023,5,1,10,47,臺中市,南屯區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,12,17,2,9,3,4,C03,7,9,1,10,2,12,,17,17,1,12,8,C03,120.646712,24.150935,2
2023,5,1,10,49,臺中市,北區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,17,23,2,9,1,1,C03,7,5,1,10,1,12,,23,23,1,5,8,C03,120.679073,24.171236,2
2023,5,1,10,50,臺中市,南屯區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,2,1,10,5,5,2,16,26,3,10,1,1,B03,7,6,1,8,2,2,,26,26,1,22,9,B03,120.61702,24.153696,2
2023,5,1,10,51,臺中市,外埔區,0,1,0,8,1,5,50,14,8,1,5,4,5,7,4,4,9,5,4,1,16,6,3,10,1,1,B03,7,6,1,8,2,2,,6,6,1,21,1,B03,120.670306,24.318455,2
2023,5,1,11,0,臺中市,清水區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,1,1,5,5,5,1,15,25,3,10,1,1,B01,7,9,1,4,2,2,,25,25,1,10,8,B01,120.552096,24.273718,2
2023,5,1,11,3,臺中市,龍井區,0,0,0,8,,,50,,,,,,,,,,,,,,,18,,,,,B12,,,1,,2,,,18,,1,9,,B12,120.52342,24.198814,3
2023,5,1,11,5,臺中市,北區,0,1,0,8,1,5,50,5,1,1,5,4,5,7,1,1,10,5,5,2,16,9,3,10,1,1,B03,7,6,1,8,2,5,,9,9,1,22,8,B03,120.683437,24.15371,2
2023,5,1,11,9,臺中市,東勢區,0,0,0,8,,,50,,,,,,,,,,,,,,,16,,,,,B03,,,1,,2,,,16,,1,22,,B03,120.840261,24.244878,3
2023,5,1,11,12,臺中市,南屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,12,,,,,B03,,,1,,2,,,12,,1,22,,B03,120.612633,24.148075,3
2023,5,1,11,14,臺中市,東勢區,0,2,0,8,1,5,50,3,1,1,5,4,5,7,3,1,10,5,5,2,17,19,2,9,1,1,C03,7,1,1,10,2,11,,19,19,1,20,9,C03,120.831927,24.247758,2
2023,5,1,11,15,臺中市,北屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,12,,,,,B03,,,1,,1,,,12,,1,22,,B03,120.660425,24.189251,3
2023,5,1,11,17,臺中市,大里區,0,0,0,8,,,50,,,,,,,,,,,,,,,18,,,,,B03,,,1,,2,,,18,,1,5,,B03,120.685585,24.11901,3
2023,5,1,11,17,臺中市,大里區,0,2,0,8,1,5,50,14,9,1,5,4,5,7,4,4,5,5,5,1,3,23,2,9,1,1,C03,7,9,4,8,2,14,,23,23,1,4,8,C03,120.696061,24.090832,2
2023,5,1,11,19,臺中市,北屯區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,4,4,10,5,5,2,16,6,3,10,3,4,B03,7,9,1,8,2,1,,6,6,1,21,8,B03,120.692816,24.17244,2
2023,5,1,11,20,臺中市,清水區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,,,,,C03,,,1,,9,,,23,,1,5,,C03,120.559416,24.310225,3
2023,5,1,11,20,臺中市,后里區,0,0,0,8,1,4,40,14,9,1,5,4,5,7,4,4,10,5,5,1,17,42,3,10,1,1,B03,7,1,1,8,1,2,,42,42,1,21,,B03,120.744626,24.312833,3
2023,5,1,11,25,臺中市,北屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,42,,,,,C03,,,1,,1,,,42,,1,21,,C03,120.696381,24.172273,3
2023,5,1,11,27,臺中市,西屯區,0,1,0,8,1,5,50,3,1,1,5,4,5,7,4,4,10,5,5,2,12,10,3,10,1,1,B03,7,11,1,8,2,4,,10,10,1,22,8,B03,120.647093,24.165953,2
2023,5,1,11,32,臺中市,北區,0,0,0,8,1,5,50,14,9,1,5,4,5,7,4,4,6,1,5,2,12,26,,,,,A41,,,1,,2,,,26,,1,22,,A41,120.685317,24.155121,3
2023,5,1,11,35,臺中市,西屯區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,12,6,3,10,1,1,C03,7,6,1,10,2,15,,6,6,1,22,8,C03,120.665406,24.166808,2
2023,5,1,11,36,臺中市,大里區,0,0,0,8,,,50,,,,,,,,,,,,,,,12,,,,,B03,,,1,,2,,,12,,1,22,,B03,120.702291,24.107138,3
2023,5,1,11,37,臺中市,清水區,0,0,0,8,,,70,,,,,,,,,,,,,,,7,,,,,A12,,,1,,9,,,7,,1,21,,A12,120.58284,24.283354,3
2023,5,1,11,38,臺中市,后里區,0,0,0,8,1,5,50,15,20,2,5,4,3,7,2,1,10,5,5,1,13,42,,,,,C03,,,1,,1,,,42,42,1,22,,C03,120.721714,24.306179,3
2023,5,1,11,40,臺中市,北屯區,0,1,0,8,1,5,50,14,9,1,5,4,5,7,4,4,1,4,5,2,13,23,2,9,1,1,C03,7,9,1,10,2,11,,23,23,1,21,8,C03,120.696735,24.183258,2
2023,5,1,11,45,臺中市,西屯區,0,1,0,8,1,5,30,4,1,1,5,4,5,7,4,4,9,5,5,2,16,6,3,10,1,1,B03,7,9,1,8,9,2,,6,6,1,12,8,B03,120.644198,24.180248,2
2023,5,1,11,45,臺中市,太平區,0,0,0,8,,,50,,,,,,,,,,,,,,,16,,,,,C03,,,3,,1,,,16,,1,22,,C03,120.714897,24.124891,3
2023,5,1,11,47,臺中市,北區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,,,,,B01,,,1,,2,,,23,,1,22,,B01,120.674204,24.165325,3
2023,5,1,11,49,臺中市,西屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,,,,,B03,,,1,,1,,,23,,1,22,,B03,120.653836,24.202553,3
2023,5,1,11,52,臺中市,豐原區,0,2,0,8,1,5,50,14,7,1,5,4,5,7,4,4,5,4,4,2,11,11,2,9,1,1,C03,7,11,1,10,2,11,,11,11,1,22,8,C03,120.715029,24.247905,2
2023,5,1,11,54,臺中市,豐原區,0,2,0,8,1,5,30,5,1,1,5,4,3,5,4,4,10,5,5,2,16,19,2,9,1,1,C03,7,9,1,10,2,11,14,6,19,1,22,8,C03,120.706974,24.253971,2
2023,5,1,11,55,臺中市,南屯區,0,2,0,8,1,5,50,14,7,1,5,4,5,7,4,4,5,4,5,2,12,7,2,8,1,1,C03,7,10,1,10,2,11,,7,7,1,22,9,C03,120.647567,24.146774,2
2023,5,1,11,56,臺中市,豐原區,0,1,0,8,1,5,60,14,8,1,5,4,5,7,2,1,1,3,4,1,17,23,2,9,1,1,B03,7,9,1,8,11,1,,23,23,2,4,8,B03,120.729763,24.243619,2
2023,5,1,11,57,臺中市,北區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,1,1,10,5,5,2,16,6,3,10,1,1,B03,7,6,1,4,2,5,,6,6,1,5,8,B03,120.688893,24.153521,2
2023,5,1,11,57,臺中市,大里區,0,0,0,8,,,50,,,,,,,,,,,,,,,44,,,,,B02,,,1,,2,,,44,,1,5,,B02,120.68386,24.11145,3
2023,5,1,12,0,臺中市,北屯區,0,1,0,8,1,5,50,3,1,1,5,4,5,7,1,1,10,5,5,2,16,6,3,10,1,1,B03,7,6,1,8,2,7,,6,6,1,21,8,B03,120.66354,24.189185,2
2023,5,1,12,0,臺中市,沙鹿區,0,1,0,8,1,5,50,14,9,1,5,4,5,7,4,4,8,4,5,2,16,40,3,10,1,1,B03,7,14,1,8,2,4,,40,40,1,22,8,B03,120.55789,24.235039,2
2023,5,1,12,2,臺中市,西屯區,0,1,0,8,1,5,50,3,1,1,5,4,5,7,4,4,10,5,5,2,18,42,2,9,1,1,C03,7,1,1,10,2,14,,42,42,1,22,8,C03,120.662418,24.17292,2
2023,5,1,12,3,臺中市,北屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,23,,,,,B12,,,1,,1,,,23,,1,22,,B12,120.686425,24.201878,3
2023,5,1,12,4,臺中市,北區,0,0,0,8,,,50,,,,,,,,,,,,,,,12,,,,,B03,,,1,,1,,,12,,1,22,,B03,120.686687,24.163872,3
2023,5,1,12,5,臺中市,大里區,0,1,0,8,1,5,40,14,8,1,5,4,5,7,4,4,1,5,4,1,12,16,3,10,1,4,C03,7,9,1,10,2,14,,44,16,1,21,7,C03,120.664611,24.088016,2
2023,5,1,12,10,臺中市,西屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,7,,,,,B03,,,1,,1,,,7,,1,22,,B03,120.640803,24.16505,3
2023,5,1,12,17,臺中市,南屯區,0,2,0,8,1,5,50,14,9,1,5,4,5,7,4,4,1,4,5,2,13,23,3,10,1,1,B03,7,9,1,8,2,1,,23,23,1,22,8,B03,120.633696,24.145099,2
2023,5,1,12,20,臺中市,南屯區,0,2,0,8,1,5,50,14,9,1,5,4,5,7,4,4,10,5,5,2,16,10,2,9,3,4,C03,7,11,1,10,2,14,,10,10,1,23,8,C03,120.650719,24.136122,2
2023,5,1,12,20,臺中市,清水區,0,1,0,8,1,5,50,3,2,1,5,4,5,7,4,4,1,4,5,2,17,9,3,10,1,1,B03,7,6,1,8,2,6,,9,9,1,22,8,B03,120.575057,24.268595,2
2023,5,1,12,21,臺中市,北屯區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,4,4,10,5,5,2,16,6,2,9,3,4,C03,7,9,1,10,2,11,,6,6,1,21,8,C03,120.727521,24.177596,2
2023,5,1,12,25,臺中市,北屯區,0,2,0,8,1,5,50,4,1,1,5,4,5,7,2,1,10,5,5,2,16,16,2,9,1,1,C03,7,5,1,10,2,11,,16,16,1,21,8,C03,120.682073,24.169733,2
2023,5,1,12,28,臺中市,大肚區,0,1,0,8,1,5,50,3,2,1,5,4,5,7,4,4,5,4,5,1,16,42,2,9,1,1,C03,7,15,1,10,2,11,,42,42,1,19,8,C03,120.545361,24.152093,2
2023,5,1,12,30,臺中市,南屯區,0,0,0,8,,,40,,,,,,,,,,,,,,,23,,,,,B03,,,1,,1,,,23,,1,22,,B03,120.62653,24.115556,3
2023,5,1,12,36,臺中市,西屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,16,,,,,B03,,,1,,1,,,16,,1,4,,B03,120.634536,24.172284,3
2023,5,1,12,38,臺中市,北屯區,0,0,0,8,,,50,,,,,,,,,,,,,,,12,,,,,B03,,,1,,1,,,12,,1,22,,B03,120.686096,24.201673,3
2023,5,1,12,46,臺中市,東區,0,0,0,8,,,30,,,,,,,,,,,,,,,12,,,,,B03,,,1,8,9,,,12,12,1,21,,B03,120.698436,24.150234,3
2023,5,1,12,47,臺中市,北區,0,0,0,8,1,5,50,4,2,1,5,4,5,7,2,1,8,3,5,2,13,23,,,,,B03,,,1,,2,,,23,,1,22,,B03,120.664812,24.164801,3
2023,5,1,12,47,臺中市,太平區,0,2,0,8,1,5,50,3,2,1,5,4,5,7,4,4,5,5,5,1,16,26,2,7,1,1,C03,7,11,1,10,2,11,,26,26,1,20,7,C03,120.719576,24.121496,2
2023,5,1,12,48,臺中市,太平區,0,1,0,8,1,5,50,4,1,1,5,4,5,7,4,4,10,5,5,2,15,6,2,9,1,1,C03,7,9,1,10,2,12,,6,6,1,22,8,C03,120.707621,24.151097,2
2023,5,1,12,50,臺中市,太平區,0,0,0,8,,,50,,,,,,,,,,,,,,,26,,,,,C03,,,1,,2,,,19,44,1,22,,C03,120.71126,24.140423,3
2023,5,1,12,55,臺中市,大甲區,0,1,0,8,1,5,30,13,9,1,5,4,5,7,4,4,10,5,5,2,11,23,3,10,1,1,B03,7,9,1,8,2,8,,23,23,1,22,8,B03,120.611643,24.349931,2
